LocusTag ;%
b0001;6.69693078
b0002;11.22987508
b0003;7.125839216
b0004;7.753534519
b0005;0.884640582
b0006;1.029671799
b0007;0.771792958
b0008;9.996115434
b0009;1.420765082
b0010;1.05602063
b0011;0.560883773
b0013;0.452716476
b0014;8.587121479
b0015;5.381447641
b0016;2.046045493
b0018;0.319971759
b0019;1.97239275
b0020;1.33151346
b0021;0
b0022;1.002735442
b0023;8.519784268
b0024;0.132970229
b0025;5.050739918
b0026;5.094009193
b0027;3.228946627
b0028;3.013152438
b0029;2.095933634
b0030;1.245705268
b0031;5.0368911
b0032;8.308679977
b0033;8.176251111
b0034;1.42172294
b0035;0.198390914
b0036;2.671334738
b0037;0.741686319
b0038;1.232143586
b0039;1.391749562
b0040;0.183079245
b0041;1.474714366
b0042;1.237708146
b0043;0.514416975
b0044;0.528855527
b0045;5.112731971
b0046;0.762437459
b0047;1.013413978
b0048;1.995689834
b0049;2.995165908
b0050;2.995600294
b0051;2.837623634
b0052;3.138984525
b0053;5.889119851
b0054;4.266724512
b0055;2.9742123
b0058;0.968383599
b0059;1.919583914
b0060;0.586481632
b0061;1.875868473
b0062;0.347313789
b0063;1.672608901
b0064;0.630551944
b0065;1.129903819
b0066;1.325853188
b0067;1.616641563
b0068;2.695704536
b0069;0.820900677
b0070;2.824930725
b0071;5.958621629
b0072;8.66447902
b0073;9.669361361
b0074;8.738309936
b0075;3.624679743
b0076;0.28903316
b0077;4.915844622
b0078;5.958430205
b0080;1.643177401
b0081;6.213878692
b0082;2.899284376
b0083;3.194482874
b0084;3.224514416
b0085;3.06767894
b0086;3.259935291
b0087;2.700225096
b0088;2.092532906
b0089;2.37459012
b0090;1.821616592
b0091;2.244494423
b0092;3.709259874
b0093;3.466121447
b0094;7.618396261
b0095;7.018575295
b0096;6.441224606
b0097;3.005333488
b0098;3.173551353
b0099;0.975242482
b0101;1.456845635
b0102;1.713553842
b0103;2.63714487
b0104;5.194875122
b0106;0.379104963
b0107;0.127973463
b0108;0.444922558
b0109;1.05243584
b0110;0.977496136
b0111;1.470060544
b0112;5.496132938
b0113;1.437682581
b0114;12.44212158
b0115;8.898009415
b0116;10.30867465
b0117;0.285791462
b0118;6.846146093
b0119;2.705216856
b0120;6.253753865
b0121;6.027578585
b0122;2.128281411
b0123;4.718913099
b0124;1.735510956
b0125;3.514993567
b0126;11.50947986
b0127;2.940845556
b0128;1.109388278
b0129;0.805108165
b0130;0.614882385
b0131;5.672883914
b0132;0.665824833
b0133;2.187749607
b0134;5.087994049
b0135;0.24798139
b0136;0.152716538
b0137;0.234149284
b0138;0.232132113
b0139;0.49183405
b0140;0.099864927
b0141;0.92273109
b0142;1.55078421
b0143;6.200589422
b0144;0.547323564
b0145;5.69127538
b0146;5.765717381
b0147;1.264547318
b0148;1.92894972
b0149;2.271566985
b0150;1.920884863
b0151;2.485734066
b0152;1.340995593
b0153;1.894700216
b0154;1.278618483
b0155;1.784469216
b0156;4.209304558
b0157;1.785268781
b0158;1.355579187
b0159;2.308173219
b0160;0.51531446
b0161;1.259679248
b0162;0.735680011
b0163;4.356392115
b0164;0.562594813
b0166;7.497806257
b0167;2.220485387
b0168;4.458384503
b0169;12.33476931
b0170;11.33418665
b0171;6.688029546
b0172;5.272829024
b0173;2.352238377
b0174;3.024520102
b0175;1.512363126
b0176;5.770385191
b0177;6.125020963
b0178;13.26681467
b0179;7.044034739
b0180;7.105923717
b0181;4.12847929
b0182;1.740076427
b0183;2.797380337
b0184;5.375182173
b0185;4.528180781
b0186;1.486913989
b0187;1.423818301
b0188;2.109644774
b0189;2.009964204
b0190;3.033112112
b0191;3.438092499
b0192;2.608054252
b0193;1.086167027
b0194;4.939765309
b0195;1.338399584
b0196;3.820742494
b0197;10.3925259
b0198;4.922654913
b0199;3.564866983
b0200;3.232458528
b0201;14.3162179
b0202;0
b0203;0
b0204;14.57873437
b0205;22.94135185
b0206;7.752812996
b0207;0.791298367
b0208;0.540229081
b0209;0.883059122
b0210;0.444326198
b0211;3.185000004
b0212;1.092634226
b0213;1.064874744
b0214;2.106545172
b0215;2.216570021
b0216;7.268089626
b0217;0.190203324
b0218;0.274122673
b0219;1.139798987
b0220;5.091012665
b0221;0.864181732
b0222;3.519418415
b0223;2.778893159
b0224;3.824305933
b0225;1.648189775
b0226;2.530284412
b0227;0.800925542
b0228;0.785862651
b0229;0.36963829
b0230;0.64822925
b0231;0.739606419
b0232;0.651387016
b0233;0.67641281
b0234;0.63907401
b0235;0.263413214
